,Categoria
Abatedouro/Frigorifico,0
Academia,4
Adm. Rodovia/Estrada,0
Armazem/Galpao,0
Banco,1
Bar/Padaria/Restaurante,0
Casa de festas,9
Casa de shows e eventos,7
Cemiterio,1
Cond. Comercio/Escritorio/Comercio,1
Cond. Resd./Residencia,5
Construtora/Obra,1
Correios,1
Curso/Escola,2
Escola de Samba,7
Estudio TV/Cinema,10
Fabrica,0
Fabrica/Industria,3
Faculdade,2
Forcas Armadas,0
Garagem/Transportadora,0
Grafica,3
Granja/Aviario,0
HORARIO COMERCIAL,1
Hospital,0
Hotel,0
Igreja,5
Industria Petroquimica,0
Industria Textil,3
Laboratorio medico,3
Motel,8
Museu,3
Oficina,1
Padrao,0
Posto de gasolina,5
Reciclagem,1
Telefonia/Antena/Bomba dagua,0
TREM/METRO,6
